id,timestamp,attack_type,source_ip,target_port,attempts,confidence,status,risk_score
1,2025-12-16 14:57:08,Brute Force,192.168.66.183,443,318,0.664,Blocked,98
2,2026-03-28 17:39:37,Brute Force,192.168.152.175,80,323,0.938,Analyzed,82
3,2026-03-27 15:27:05,Side Channel,192.168.152.208,22,217,0.933,Detected,80
4,2025-12-05 22:15:08,Dictionary Attack,192.168.167.43,5432,143,0.733,Warning,99
5,2025-12-25 18:45:54,Dictionary Attack,192.168.220.65,80,338,0.8,Blocked,92
6,2026-03-02 06:33:27,Dictionary Attack,192.168.128.222,22,455,0.782,Analyzed,73
7,2026-01-09 12:45:24,Ciphertext Analysis,192.168.176.69,27017,57,0.736,Warning,89
8,2025-12-21 12:16:50,Side Channel,192.168.142.49,443,38,0.883,Warning,88
9,2026-02-02 18:44:29,Side Channel,192.168.82.158,5432,416,0.74,Detected,61
10,2026-01-07 03:50:19,Ciphertext Analysis,192.168.49.245,443,279,0.789,Detected,71
11,2025-11-03 11:13:05,Dictionary Attack,192.168.93.135,443,297,0.69,Analyzed,89
12,2026-01-10 13:07:53,Side Channel,192.168.82.112,3306,51,0.711,Warning,85
13,2026-04-22 00:04:02,Key Recovery,192.168.132.1,80,79,0.911,Detected,73
14,2025-12-05 18:00:57,Key Recovery,192.168.188.133,443,456,0.665,Analyzed,70
15,2025-12-02 09:02:10,Dictionary Attack,192.168.29.134,3306,306,0.985,Blocked,73
16,2026-04-09 15:12:09,Ciphertext Analysis,192.168.176.69,80,63,0.97,Warning,72
17,2026-04-26 14:23:01,Side Channel,192.168.40.232,22,220,0.717,Blocked,79
18,2026-01-25 21:01:44,Key Recovery,192.168.130.20,80,54,0.836,Detected,63
19,2026-01-07 11:28:07,Key Recovery,192.168.53.142,443,7,0.83,Analyzed,62
20,2026-02-12 16:26:34,Brute Force,192.168.152.208,6379,119,0.88,Warning,67
21,2026-01-28 04:06:12,Dictionary Attack,192.168.138.71,3306,259,0.794,Analyzed,60
22,2026-02-19 08:50:43,Side Channel,192.168.42.202,80,174,0.803,Detected,74
23,2026-03-30 01:10:30,Dictionary Attack,192.168.53.142,27017,159,0.882,Warning,93
24,2026-04-20 19:04:17,Key Recovery,192.168.164.148,3306,311,0.891,Analyzed,60
25,2026-03-23 08:29:26,Dictionary Attack,192.168.234.37,5432,181,0.725,Analyzed,63
26,2026-04-19 14:48:15,Brute Force,192.168.237.101,80,110,0.829,Blocked,99
27,2025-12-21 13:56:12,Key Recovery,192.168.230.131,80,23,0.688,Detected,65
28,2026-01-20 04:28:23,Dictionary Attack,192.168.49.245,443,422,0.902,Warning,73
29,2025-12-22 21:58:37,Key Recovery,192.168.40.232,5432,22,0.786,Detected,99
30,2026-02-12 06:03:02,Brute Force,192.168.66.183,443,437,0.892,Warning,64
31,2026-04-07 19:52:33,Side Channel,192.168.43.82,3306,320,0.708,Warning,69
32,2025-11-05 06:41:44,Brute Force,192.168.152.208,80,363,0.801,Warning,89
33,2026-02-11 03:45:16,Dictionary Attack,192.168.29.134,443,78,0.656,Warning,85
34,2026-02-18 06:33:14,Brute Force,192.168.31.224,6379,84,0.918,Warning,72
35,2026-04-12 03:34:51,Key Recovery,192.168.115.160,6379,156,0.989,Warning,80
36,2025-12-22 18:27:18,Brute Force,192.168.24.62,80,439,0.865,Warning,93
37,2026-02-22 00:02:15,Brute Force,192.168.50.193,22,225,0.814,Warning,100
38,2026-01-23 08:20:47,Ciphertext Analysis,192.168.138.71,5432,214,0.934,Warning,97
39,2025-12-09 17:30:21,Ciphertext Analysis,192.168.237.101,22,296,0.934,Analyzed,82
40,2025-11-29 00:21:16,Key Recovery,192.168.82.158,6379,89,0.796,Detected,89
41,2026-01-10 10:49:05,Brute Force,192.168.255.117,5432,390,0.758,Analyzed,74
42,2026-04-22 09:27:11,Side Channel,192.168.93.135,6379,101,0.919,Warning,96
43,2025-11-01 04:13:39,Brute Force,192.168.152.175,80,413,0.972,Analyzed,85
44,2025-11-14 21:20:19,Brute Force,192.168.255.117,80,452,0.913,Detected,100
45,2025-12-19 19:09:45,Ciphertext Analysis,192.168.164.148,443,407,0.657,Blocked,93
46,2026-04-09 13:41:34,Ciphertext Analysis,192.168.29.134,3306,8,0.875,Warning,84
47,2026-03-04 21:54:35,Brute Force,192.168.164.148,6379,169,0.986,Blocked,98
48,2025-12-05 05:50:53,Side Channel,192.168.42.202,5432,244,0.881,Analyzed,92
49,2026-04-28 23:43:06,Dictionary Attack,192.168.132.1,3306,148,0.764,Analyzed,79
50,2026-03-03 02:09:43,Side Channel,192.168.152.175,80,256,0.982,Warning,73
51,2025-12-06 19:31:41,Brute Force,192.168.229.116,27017,461,0.754,Warning,92
52,2026-04-04 07:09:14,Dictionary Attack,192.168.152.136,22,130,0.949,Analyzed,86
53,2025-11-14 09:13:17,Side Channel,192.168.220.65,443,63,0.956,Warning,73
54,2025-12-11 15:04:50,Dictionary Attack,192.168.115.160,443,133,0.772,Blocked,100
55,2026-01-22 00:25:43,Dictionary Attack,192.168.49.245,5432,327,0.761,Detected,77
56,2026-01-08 12:38:16,Side Channel,192.168.131.248,80,32,0.966,Detected,69
57,2026-04-11 17:02:57,Dictionary Attack,192.168.53.142,5432,156,0.879,Detected,65
58,2025-11-01 15:54:49,Dictionary Attack,192.168.220.65,3306,465,0.805,Blocked,69
59,2026-02-22 14:54:06,Brute Force,192.168.131.248,443,475,0.942,Warning,79
60,2026-04-06 10:40:05,Ciphertext Analysis,192.168.109.196,5432,473,0.76,Detected,96
61,2025-11-10 11:21:37,Dictionary Attack,192.168.130.20,6379,386,0.678,Blocked,74
62,2026-02-01 20:19:49,Brute Force,192.168.66.183,27017,499,0.964,Detected,67
63,2026-02-08 10:36:23,Side Channel,192.168.255.117,22,56,0.889,Warning,90
64,2025-12-10 01:46:06,Key Recovery,192.168.112.171,5432,428,0.863,Blocked,99
65,2026-01-15 08:16:55,Brute Force,192.168.112.171,443,180,0.96,Warning,74
66,2026-02-10 03:36:08,Key Recovery,192.168.220.65,3306,4,0.786,Warning,74
67,2026-01-29 21:32:49,Side Channel,192.168.31.224,27017,380,0.923,Analyzed,66
68,2025-12-04 10:48:28,Ciphertext Analysis,192.168.115.160,22,51,0.938,Blocked,96
69,2026-03-21 23:51:21,Key Recovery,192.168.13.2,443,307,0.655,Warning,66
70,2026-02-03 03:07:59,Brute Force,192.168.132.1,6379,256,0.912,Detected,70
71,2026-04-09 08:46:25,Side Channel,192.168.132.1,80,81,0.818,Warning,60
72,2026-02-03 03:04:15,Side Channel,192.168.188.133,5432,123,0.782,Detected,89
73,2026-02-23 09:05:30,Brute Force,192.168.152.175,22,327,0.949,Detected,93
74,2026-03-01 22:00:21,Dictionary Attack,192.168.53.142,443,316,0.671,Analyzed,68
75,2026-02-23 13:48:38,Brute Force,192.168.230.131,6379,150,0.93,Analyzed,96
76,2026-03-10 03:39:03,Side Channel,192.168.123.47,443,462,0.832,Blocked,63
77,2025-12-15 08:29:35,Brute Force,192.168.174.224,6379,74,0.864,Blocked,81
78,2026-03-26 02:06:58,Dictionary Attack,192.168.237.101,22,95,0.803,Analyzed,67
79,2026-02-04 08:27:02,Side Channel,192.168.138.71,5432,465,0.768,Analyzed,95
80,2025-12-26 14:29:30,Key Recovery,192.168.34.1,80,33,0.987,Warning,63
81,2026-01-29 10:05:37,Key Recovery,192.168.50.193,6379,252,0.939,Analyzed,77
82,2026-04-25 19:47:21,Dictionary Attack,192.168.208.127,22,106,0.902,Warning,83
83,2026-01-07 18:39:29,Dictionary Attack,192.168.132.1,80,339,0.731,Blocked,71
84,2026-03-31 10:06:34,Brute Force,192.168.164.148,22,318,0.927,Blocked,63
85,2025-12-10 16:55:13,Ciphertext Analysis,192.168.152.175,3306,16,0.702,Blocked,66
86,2026-02-06 05:52:02,Key Recovery,192.168.142.49,27017,411,0.73,Blocked,64
87,2025-12-31 12:48:11,Dictionary Attack,192.168.49.245,80,371,0.659,Detected,79
88,2026-01-11 10:05:36,Brute Force,192.168.8.203,80,290,0.808,Blocked,88
89,2026-04-17 13:01:58,Side Channel,192.168.31.224,443,345,0.735,Detected,95
90,2026-03-31 11:34:48,Brute Force,192.168.226.34,5432,174,0.683,Analyzed,88
91,2026-02-14 17:55:46,Brute Force,192.168.188.133,5432,271,0.713,Warning,69
92,2025-12-07 06:29:35,Brute Force,192.168.174.224,6379,108,0.833,Analyzed,70
93,2026-03-06 23:15:34,Key Recovery,192.168.82.158,80,345,0.718,Blocked,76
94,2026-02-05 19:35:52,Brute Force,192.168.225.22,3306,167,0.932,Blocked,93
95,2025-11-13 23:47:13,Ciphertext Analysis,192.168.7.129,3306,391,0.702,Analyzed,67
96,2026-03-05 08:01:52,Side Channel,192.168.24.62,443,140,0.868,Warning,83
97,2026-04-06 08:32:24,Ciphertext Analysis,192.168.167.43,5432,359,0.819,Blocked,92
98,2025-12-26 21:47:12,Brute Force,192.168.131.248,6379,384,0.91,Analyzed,69
99,2025-11-25 11:27:29,Brute Force,192.168.53.142,443,143,0.804,Blocked,88
100,2026-04-08 23:19:25,Brute Force,192.168.82.112,6379,199,0.936,Detected,81
101,2026-04-07 19:50:22,Brute Force,192.168.43.82,3306,157,0.798,Blocked,96
102,2026-04-02 19:55:06,Ciphertext Analysis,192.168.82.112,443,379,0.838,Blocked,89
103,2026-04-17 15:32:49,Brute Force,192.168.115.160,3306,269,0.665,Warning,91
104,2026-03-24 20:24:49,Key Recovery,192.168.174.224,3306,28,0.725,Analyzed,90
105,2026-04-23 09:26:06,Brute Force,192.168.152.136,3306,332,0.874,Detected,67
106,2025-12-22 19:46:39,Side Channel,192.168.130.20,6379,228,0.734,Analyzed,93
107,2026-02-14 05:44:24,Brute Force,192.168.112.171,22,45,0.842,Blocked,89
108,2026-03-11 09:27:13,Dictionary Attack,192.168.167.233,27017,128,0.687,Analyzed,73
109,2025-12-16 07:08:09,Dictionary Attack,192.168.82.158,80,1,0.868,Warning,97
110,2025-12-14 01:30:54,Brute Force,192.168.82.158,6379,457,0.911,Analyzed,79
111,2026-03-07 05:03:53,Brute Force,192.168.7.129,443,127,0.882,Detected,63
112,2025-12-02 18:23:33,Brute Force,192.168.229.116,5432,63,0.698,Detected,71
113,2026-01-01 01:48:53,Brute Force,192.168.123.47,3306,169,0.836,Warning,92
114,2025-12-04 04:29:45,Dictionary Attack,192.168.188.133,27017,80,0.738,Detected,80
115,2026-04-14 03:34:41,Dictionary Attack,192.168.225.22,443,73,0.858,Warning,70
116,2026-04-22 20:34:39,Brute Force,192.168.43.82,5432,317,0.818,Warning,92
117,2025-11-09 06:43:30,Brute Force,192.168.176.69,443,27,0.977,Blocked,72
118,2026-01-08 15:43:18,Dictionary Attack,192.168.225.22,27017,452,0.859,Analyzed,87
119,2025-12-24 08:28:28,Brute Force,192.168.174.224,6379,379,0.953,Blocked,67
120,2026-03-19 10:30:13,Dictionary Attack,192.168.34.1,443,396,0.898,Detected,73
121,2025-12-23 04:05:52,Ciphertext Analysis,192.168.115.160,3306,215,0.734,Detected,83
122,2026-02-28 06:04:14,Dictionary Attack,192.168.132.1,22,312,0.693,Detected,63
123,2026-04-20 12:50:22,Brute Force,192.168.174.224,80,460,0.666,Analyzed,100
124,2026-01-29 18:38:30,Dictionary Attack,192.168.123.47,443,70,0.7,Warning,70
125,2026-01-08 13:59:47,Ciphertext Analysis,192.168.220.65,80,64,0.853,Analyzed,93
126,2026-04-03 07:09:03,Dictionary Attack,192.168.43.82,22,346,0.735,Warning,89
127,2026-02-13 07:19:53,Key Recovery,192.168.7.129,27017,451,0.815,Detected,75
128,2026-01-20 20:24:43,Brute Force,192.168.82.158,80,128,0.858,Warning,65
129,2026-03-24 07:40:18,Brute Force,192.168.132.1,22,406,0.956,Analyzed,95
130,2026-02-15 05:31:34,Side Channel,192.168.130.20,22,167,0.929,Warning,71
131,2026-02-11 20:27:10,Ciphertext Analysis,192.168.13.2,27017,103,0.946,Warning,88
132,2025-12-23 00:04:55,Side Channel,192.168.13.2,6379,417,0.943,Blocked,63
133,2026-01-18 15:41:58,Brute Force,192.168.109.196,443,115,0.778,Blocked,73
134,2025-11-11 17:39:06,Dictionary Attack,192.168.152.136,6379,227,0.851,Blocked,62
135,2026-02-14 06:41:34,Dictionary Attack,192.168.130.20,27017,307,0.754,Detected,81
136,2026-03-05 07:42:45,Brute Force,192.168.154.119,22,431,0.959,Warning,65
137,2026-04-15 04:28:37,Ciphertext Analysis,192.168.131.248,443,1,0.657,Blocked,100
138,2025-12-31 04:50:37,Dictionary Attack,192.168.176.69,6379,493,0.81,Analyzed,96
139,2025-12-28 03:22:57,Brute Force,192.168.230.131,22,415,0.806,Warning,77
140,2026-03-15 04:17:12,Dictionary Attack,192.168.31.224,6379,425,0.847,Warning,69
141,2026-02-14 12:05:41,Brute Force,192.168.112.171,443,91,0.668,Detected,80
142,2025-11-23 00:06:07,Side Channel,192.168.66.183,80,105,0.927,Analyzed,61
143,2026-03-27 11:36:01,Dictionary Attack,192.168.34.1,27017,353,0.674,Detected,93
144,2025-12-02 08:13:44,Side Channel,192.168.152.136,27017,338,0.738,Detected,95
145,2025-12-20 22:39:07,Dictionary Attack,192.168.93.135,80,30,0.699,Detected,67
146,2026-02-22 22:58:48,Dictionary Attack,192.168.220.65,22,482,0.853,Warning,64
147,2026-04-20 07:26:05,Brute Force,192.168.34.1,80,443,0.792,Analyzed,60
148,2025-11-14 02:12:26,Brute Force,192.168.130.20,22,75,0.681,Detected,91
149,2026-04-06 08:51:39,Brute Force,192.168.128.222,80,412,0.922,Warning,79
150,2026-04-01 03:37:52,Brute Force,192.168.24.62,443,196,0.707,Analyzed,94
151,2026-01-30 23:46:52,Brute Force,192.168.174.224,80,282,0.665,Blocked,80
152,2026-03-25 15:00:31,Brute Force,192.168.82.112,80,259,0.721,Blocked,65
153,2025-12-12 11:54:31,Side Channel,192.168.50.193,3306,209,0.664,Detected,85
